user_id,qtd_posts,media_likes,qtd_posts_positivos,qtd_posts_negativos,qtd_posts_neutros,qtd_posts_possui_emoticon,seguidores,seguidos,temperamento
8.0,7.0,176.14285714285714,6.0,0.0,1.0,7.0,1220.0,1108.0,"anxious,depressive"
10.0,5.0,9.0,3.0,0.0,2.0,2.0,49.0,60.0,",anxious,cyclothymic,depressive,hyperthymic,irritable,worrying"
12.0,2.0,60.5,2.0,0.0,0.0,1.0,161.0,279.0,"cyclothymic,depressive,irritable"
13.0,3.0,108.66666666666667,3.0,0.0,0.0,2.0,392.0,901.0,depressive
14.0,21.0,61.857142857142854,15.0,0.0,6.0,12.0,529.0,599.0,"cyclothymic,depressive"
15.0,14.0,95.14285714285714,9.0,1.0,4.0,14.0,601.0,369.0,depressive
16.0,12.0,125.83333333333333,12.0,0.0,0.0,7.0,999.0,962.0,depressive
17.0,5.0,122.6,5.0,0.0,0.0,5.0,1076.0,1218.0,depressive
19.0,20.0,37.55,16.0,1.0,3.0,14.0,236.0,376.0,"depressive,irritable"
21.0,7.0,114.14285714285714,4.0,2.0,1.0,0.0,544.0,379.0,depressive
26.0,87.0,182.0344827586207,83.0,0.0,4.0,87.0,3245.0,2194.0,"cyclothymic,depressive"
52.0,28.0,405.35714285714283,16.0,0.0,12.0,8.0,60102.0,2002.0,depressive
59.0,4.0,47.75,3.0,0.0,1.0,3.0,557.0,1219.0,",anxious,cyclothymic,depressive,hyperthymic,irritable,worrying"
73.0,25.0,222.08,23.0,0.0,2.0,23.0,2452.0,1176.0,depressive
87.0,72.0,445.30555555555554,26.0,0.0,46.0,33.0,7207.0,6744.0,depressive
109.0,15.0,204.4,4.0,0.0,11.0,3.0,913.0,480.0,depressive
115.0,3.0,43.666666666666664,0.0,0.0,3.0,3.0,432.0,425.0,irritable
116.0,1.0,16.0,0.0,0.0,1.0,0.0,430.0,207.0,depressive
122.0,23.0,135.43478260869566,13.0,2.0,8.0,16.0,1175.0,1086.0,depressive
123.0,12.0,120.08333333333333,10.0,0.0,2.0,4.0,932.0,1134.0,depressive
126.0,21.0,61.095238095238095,12.0,0.0,9.0,9.0,385.0,561.0,",anxious,cyclothymic,depressive,hyperthymic,irritable,worrying"
134.0,31.0,75.74193548387096,30.0,0.0,1.0,19.0,1059.0,1948.0,depressive
136.0,53.0,124.58490566037736,50.0,0.0,3.0,40.0,1056.0,1257.0,",anxious,cyclothymic,depressive,hyperthymic,irritable,worrying"
154.0,6.0,54.333333333333336,5.0,0.0,1.0,5.0,555.0,997.0,depressive
