user_id,qtd_posts,media_likes,qtd_posts_positivos,qtd_posts_negativos,qtd_posts_neutros,qtd_posts_possui_emoticon,seguidores,seguidos,proporcao_final_semana,proporcao_meio_semana,proporcao_manha,proporcao_tarde,proporcao_noite,proporcao_madrugada,temperamento
8,7,176.14285714285714,6,0,1,7,1220,1108,0.4286,0.5714,0.1429,0.4286,0.4286,0.0,anxious
8,7,176.14285714285714,6,0,1,7,1220,1108,0.4286,0.5714,0.1429,0.4286,0.4286,0.0,depressive
10,5,9.0,3,0,2,2,49,60,0.2,0.8,0.2,0.4,0.2,0.2,anxious
10,5,9.0,3,0,2,2,49,60,0.2,0.8,0.2,0.4,0.2,0.2,cyclothymic
10,5,9.0,3,0,2,2,49,60,0.2,0.8,0.2,0.4,0.2,0.2,depressive
10,5,9.0,3,0,2,2,49,60,0.2,0.8,0.2,0.4,0.2,0.2,hyperthymic
10,5,9.0,3,0,2,2,49,60,0.2,0.8,0.2,0.4,0.2,0.2,irritable
10,5,9.0,3,0,2,2,49,60,0.2,0.8,0.2,0.4,0.2,0.2,worrying
12,2,60.5,2,0,0,1,161,279,0.0,1.0,0.0,0.0,1.0,0.0,cyclothymic
12,2,60.5,2,0,0,1,161,279,0.0,1.0,0.0,0.0,1.0,0.0,depressive
12,2,60.5,2,0,0,1,161,279,0.0,1.0,0.0,0.0,1.0,0.0,irritable
13,3,108.66666666666669,3,0,0,2,392,901,0.3333,0.6667,0.0,0.6667,0.3333,0.0,depressive
14,21,61.85714285714285,15,0,6,12,529,599,0.4762,0.5238,0.2381,0.3333,0.381,0.0476,cyclothymic
14,21,61.85714285714285,15,0,6,12,529,599,0.4762,0.5238,0.2381,0.3333,0.381,0.0476,depressive
15,14,95.14285714285714,9,1,4,14,601,369,0.5,0.5,0.2857,0.5714,0.1429,0.0,depressive
16,12,125.83333333333331,12,0,0,7,999,962,0.5,0.5,0.25,0.4167,0.3333,0.0,depressive
17,5,122.6,5,0,0,5,1076,1218,0.2,0.8,0.0,0.4,0.6,0.0,depressive
19,20,37.55,16,1,3,14,236,376,0.6,0.4,0.05,0.55,0.35,0.05,depressive
19,20,37.55,16,1,3,14,236,376,0.6,0.4,0.05,0.55,0.35,0.05,irritable
21,7,114.14285714285714,4,2,1,0,544,379,0.4286,0.5714,0.4286,0.1429,0.4286,0.0,depressive
26,87,182.0344827586207,83,0,4,87,3245,2194,0.3218,0.6782,0.1954,0.3793,0.4253,0.0,cyclothymic
26,87,182.0344827586207,83,0,4,87,3245,2194,0.3218,0.6782,0.1954,0.3793,0.4253,0.0,depressive
52,28,405.3571428571428,16,0,12,8,60102,2002,0.2143,0.7857,0.3214,0.5357,0.1429,0.0,depressive
59,4,47.75,3,0,1,3,557,1219,0.25,0.75,0.25,0.25,0.25,0.25,anxious
59,4,47.75,3,0,1,3,557,1219,0.25,0.75,0.25,0.25,0.25,0.25,cyclothymic
